D,0,A,1,45,22168.6,N
D,0,D,22,217,16394.5,Y
D,0,A,1,55,37931.5,N
D,0,A,1,60,29610.6,Y
D,0,D,22,34,19122.9,Y
D,0,D,22,16,22335,N
D,0,A,22,106,22774.4,N
D,0,D,22,290,29270.3,N
D,0,A,22,161,1634.27,Y
D,0,D,22,104,27822.2,Y
D,0,D,20,8,16055.8,N
D,0,A,22,37,13715,N
D,0,A,1,30,11981.6,Y
D,0,D,22,150,23177.3,Y
D,0,A,22,269,7255.78,Y
D,0,D,57,206,6392.1,Y
D,0,D,46,232,3404.34,Y
D,0,A,60,5,31916.3,Y
D,1,A,30,74,15092.9,Y
D,1,D,30,68,26726.6,N
D,1,D,30,189,34456.9,Y
D,1,A,30,77,31626.3,Y
D,1,D,30,229,22470.8,Y
D,1,A,30,92,26639.6,Y
D,1,A,30,51,44572.3,N
D,1,A,25,74,15092.9,Y
D,1,D,68,68,26726.6,N
D,1,D,45,189,34456.9,Y
D,1,A,18,77,31626.3,Y
D,2,A,44,96,6134.22,Y
D,2,D,70,217,42693.9,N
D,2,A,26,151,8331.55,N
D,2,D,51,93,10916.5,Y
D,2,D,33,186,28898,N
D,2,D,38,9,16930.1,N
D,2,A,45,8,23302.4,N
D,2,D,65,283,36466.6,Y
D,2,D,47,11,27646.7,N
W
P
